"","IDCNTRY","booklet_id","IDSCHOOL","IDCLASS","person_id","ITSEX","dum.fr","dum.eng","dum.hk","dum.kor","dum.qat","dum.nor","dum.twn","ME52024","ME52058A","ME52058B","ME52125","ME52229","ME52063","ME52072","ME52146A","ME52146B","ME52092","ME52046","ME52083","ME52082","ME52161","ME52418A","ME52418B","ME72007","ME72025","ME72017","ME72190","ME72068","ME72076","ME72056","ME72098","ME72103","ME72121","ME72180","ME72198","ME72227","ME72170","ME72209","ME52024t","ME52058At","ME52058Bt","ME52125t","ME52229t","ME52063t","ME52072t","ME52146At","ME52146Bt","ME52092t","ME52046t","ME52083t","ME52082t","ME52161t","ME52418At","ME52418Bt","ME72007t","ME72025t","ME72017t","ME72190t","ME72068t","ME72076t","ME72056t","ME72098t","ME72103t","ME72121t","ME72180t","ME72198t","ME72227t","ME72170t","ME72209t"
"976","KOR","Booklet 01","5149","514906","51490616","Female",0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,2,1,0,1,1,1,1,0,0,1,1,1,1,1,0,22.212,54.839,54.839,32.872,17.579,9.92,9.44,68.255,68.255,29.328,36.704,17.896,17.6,11.264,64.24,64.24,20.792,19.504,56.912,13.241,17.263,11.656,36.584,44.288,35.472,14.273,30.407,50.063,37.089,19.624,40.8
"977","KOR","Booklet 01","5151","515106","51510605","Female",0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,131.464,146.369,146.369,77.123,39.272,62.451,72.868,157.89,157.89,44.536,38.766,185.766,77.093,20.011,98.024,98.024,53.343,40.021,38.593,57.696,81.104,19.336,87.783,53.369,48.389,112.245,38.691,112.513,47.812,36.531,324.573
"978","KOR","Booklet 01","5151","515106","51510621","Female",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,103.892,84.144,84.144,34.047,27.168,18.035,12.154,126.035,126.035,28.833,36.206,35.86,22.113,49.041,79.506,79.506,27.47,51.913,315.882,51.609,53.024,24.889,64.445,63.653,27.346,31.554,116.188,105.089,56.453,34.782,170.858
"979","KOR","Booklet 01","5152","515202","51520209","Male",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,0,1,43.977,100.928,100.928,142.542,31.608,24.505,16.248,88.815,88.815,19.866,51.214,53.577,33.73,27.631,128.959,128.959,75.934,37.348,89.221,27.033,27.288,76.92,100.37,122.311,44.448,19.382,72.889,93.735,51.636,46.431,228.459
"980","KOR","Booklet 01","5153","515306","51530610","Female",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,35.983,158.553,158.553,43.807,37.367,13.488,12.824,249.224,249.224,24.016,52.124,72.606,22.54,35.194,75.551,75.551,60.825,26.686,84.068,68.472,32.835,3.449,99.299,132.676,34.858,24.717,32.434,76.919,31.02,32.741,36.041
"981","KOR","Booklet 01","5153","515306","51530626","Male",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,2,0,0,1,1,1,1,1,1,1,1,1,1,1,0,39.798,52.775,52.775,36.444,13.08,12.124,7.521,124.683,124.683,48.032,85.096,62.696,17.579,23.385,59.882,59.882,58.657,114.6,53.66,39.052,19.376,23.444,57.388,70.16,50.279,10.888,59.641,62.4,42.424,32.289,87.828
"982","KOR","Booklet 01","5154","515403","51540314","Male",0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,256.098,101.54,101.54,30.287,20.64,11.082,6.711,127.815,127.815,33.925,17.455,24.257,20.983,50.449,64.896,64.896,45.256,26.432,25.377,18.479,6.096,38.824,45.352,142.647,137.06,34.189,29.04,65.04,9.336,15.944,998.058
"983","KOR","Booklet 01","5155","515502","51550201","Female",0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,62.694,188.783,188.783,51.77,36.86,23.492,17.678,450.132,450.132,81.232,47.433,44.203,38.673,22.623,144.365,144.365,63.75,31.91,129.27,66.376,30.386,30.606,67.341,59.631,70.481,23.67,31.834,43.011,45.962,29.211,100.814
"984","KOR","Booklet 01","5155","515502","51550217","Female",0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,1,0,1,1,0,66.611,94.119,94.119,30.752,17.279,12.704,8.2,100.248,100.248,43.4,27.072,146.334,4.369,37.487,36.176,36.176,42.24,27.28,28.599,38.312,33.087,28.809,35.128,67.511,9.728,42.653,19.733,54.022,55.174,20.329,61.241
"985","KOR","Booklet 01","5155","515502","51550233","Male",0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,67.843,180.112,180.112,43.392,45.944,10.457,8.471,810.234,810.234,73.571,67.682,70.127,42.169,18.56,161.976,161.976,97.055,52.916,71.426,35.352,61.585,77.032,37.585,30.351,35.071,41.415,41.78,37.934,44.017,31.834,117.081
"986","KOR","Booklet 01","5156","515603","51560316","Female",0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,0,0,26.565,40.945,40.945,31.825,16.767,10.546,5.506,188.944,188.944,10.264,29.345,27.421,19.7,27.683,52.426,52.426,34.278,20.509,65.047,11.023,34.864,11.534,29.746,44.161,33.415,15.282,99.046,21.457,22.389,69.726,59.873
